City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,prince rupert,54.3161,-130.3201,5.86,85,96,1.68,CA,1682680142
296,sisimiut,66.9395,-53.6735,-2.04,73,24,2.74,GL,1682680142
297,isangel,-19.55,169.2667,24.76,75,1,2.95,VU,1682680143
298,kiunga,-6.1219,141.2906,24.03,98,99,1.22,PG,1682680144
299,chesapeake,36.819,-76.2749,16.1,95,100,6.69,US,1682679787
300,samarinda,-0.5,117.15,25.13,91,76,1.32,ID,1682680123
301,peace river,56.2501,-117.286,7.59,61,40,4.12,CA,1682679886
302,hirara,24.8,125.2833,23.84,83,35,6.31,JP,1682680146
303,undurkhaan,47.3194,110.6556,5.48,40,100,4.42,MN,1682680146
304,xai-xai,-25.0519,33.6442,30.31,49,2,2.46,MZ,1682680147
305,meihekou,42.5272,125.6753,7.29,81,81,3.07,CN,1682680147
306,el triunfo,-1.9333,-79.9667,25.02,99,100,1.22,EC,1682680148
307,fort st. john,56.2499,-120.8529,2.61,79,100,0.84,CA,1682680149
308,zouerate,22.7187,-12.4521,33.3,20,0,3.7,MR,1682680149
309,los llanos de aridane,28.6585,-17.9182,20.86,79,20,3.13,ES,1682680079
310,ghat,24.9647,10.1728,33.85,9,28,2.72,LY,1682680150
311,bandipura,34.4167,74.65,17.39,60,48,1.21,IN,1682680151
312,rethymno,35.3647,24.4714,18.79,65,21,7.79,GR,1682680152
313,necochea,-38.5473,-58.7368,15.46,71,1,5.29,AR,1682680152
314,mugia,43.1041,-9.2179,16.62,92,100,4.8,ES,1682680153
315,magadan,59.5667,150.8,-1.05,88,48,3.13,RU,1682680153
316,quepos,9.4236,-84.1652,25.85,81,100,1.28,CR,1682680154
317,solnechnyy,50.7214,136.6319,-0.07,91,82,2.52,RU,1682680154
318,bratsk,56.1325,101.6142,2.27,99,100,2.19,RU,1682680148
319,notodden,59.5594,9.2585,10.53,35,0,0.51,NO,1682680155
320,sondrio,46.169,9.8692,18.06,86,100,2.07,IT,1682680156
321,obo,5.3998,26.4869,21.44,95,98,1.55,CF,1682680157
322,minas de marcona,-15.2119,-75.1103,15.35,92,32,3.68,PE,1682680157
323,geraldton,-28.7667,114.6,19.23,30,0,5.66,AU,1682679664
324,dingwall,57.5953,-4.4272,11.06,86,96,1.26,GB,1682680158
325,howrah,22.5892,88.3103,34.0,52,75,2.06,IN,1682680159
326,porto torres,40.835,8.3972,25.1,63,52,3.01,IT,1682680160
327,cho dok,10.7,105.1167,33.92,46,86,2.9,VN,1682680160
328,prachuap khiri khan,12.2167,99.75,29.56,59,55,2.93,TH,1682679900
329,bedesa,8.9,40.7833,23.22,62,95,2.01,ET,1682680161
330,port hedland,-20.3167,118.5667,30.03,28,100,3.6,AU,1682680162
331,san andres,12.5847,-81.7006,27.01,78,75,4.12,CO,1682680067
332,kendari,-3.945,122.4989,25.52,89,82,1.56,ID,1682680163
333,yinchuan,38.4681,106.2731,12.38,11,0,2.6,CN,1682680164
334,praia da vitoria,38.7333,-27.0667,18.2,83,19,9.95,PT,1682680164
335,wewak,-3.5534,143.6268,27.35,81,92,2.31,PG,1682680165
336,mount pearl,47.5166,-52.7813,1.64,95,100,8.23,CA,1682680166
337,bonnyville,54.2668,-110.735,5.18,75,100,4.47,CA,1682680166
338,walvis bay,-22.9575,14.5053,24.18,45,2,6.1,NA,1682680167
339,altai,46.3722,96.2583,4.75,29,99,1.96,MN,1682680168
